genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
STAT2,0,0,241,0,14418,0,1978,4274,1071,1702,12841,1870,3035,4637,336,8372,0,0,5597,0,2752,602,989,867,429,0,0,0,11219,5400,0,663,N,N,Y
NCAPD2,0,0,2732,0,16583,0,1569,4954,4859,2808,6416,5742,5673,4641,5351,8232,0,1910,3120,0,4922,0,1904,1998,2362,0,0,0,12678,4743,0,3994,Y,N,N
OTOGL,0,0,0,0,0,0,719,130,3898,0,0,0,0,0,0,418,0,947,0,0,7250,0,0,0,0,0,0,0,2391,147,0,0,N,N,N
NR2C1,0,0,6037,0,9709,0,4934,5334,5332,8880,9752,6985,7234,9045,8297,11716,0,0,6544,0,7512,0,4043,3406,981,0,0,0,16321,10641,0,8604,N,N,N
NBEA,0,0,0,0,6953,333,2992,556,1367,1194,2232,5386,728,441,1168,5763,0,3233,7551,0,8729,0,229,0,2363,0,0,0,5129,359,0,7673,N,N,N
IPO5,0,0,4176,0,8696,0,3315,7737,5235,4535,4482,2304,3285,4951,8791,11231,0,0,0,0,9832,0,2896,2859,422,0,0,0,12467,10279,0,0,N,N,N
DNAAF2,0,0,0,0,0,0,10905,3931,2447,8414,3760,10275,6409,3581,4979,3387,0,0,0,0,1357,0,0,0,0,0,0,0,3700,5396,0,7350,N,N,N
PPP2R5E,0,0,7726,0,25200,0,7491,8519,4377,8932,15822,1239,6220,11931,3316,20270,0,0,2332,0,1358,1108,4096,3078,0,0,0,424,17893,9303,0,6099,N,N,N
SMEK1,0,0,4177,0,8182,0,13503,13503,13503,9285,0,10519,11211,0,15091,12446,0,0,0,0,0,0,5678,3776,2364,0,0,0,15198,10693,0,0,N,N,N
HERC2,0,0,185,0,2198,97,259,44,115,480,1062,8,247,61,295,1726,113,3271,4530,0,9885,46,45,35,2365,0,0,1046,3672,79,88,5403,N,N,Y
CGNL1,0,0,0,0,10386,0,11267,1015,2878,6838,7242,9009,4716,1761,3653,8038,0,480,4058,0,1393,0,1121,0,4214,20,182,0,8997,4317,0,7045,N,N,N
GRIN2A,0,0,144,0,4738,215,523,237,728,722,6253,1216,295,354,201,2431,157,968,10,0,594,105,83,68,546,0,0,982,3338,175,0,10454,N,N,Y
ZKSCAN2,0,0,2012,0,1456,0,8107,2453,5413,7267,10220,6641,3097,4092,4250,9783,0,0,6311,0,7157,1050,0,0,2366,0,0,0,9475,2612,0,9350,N,N,N
CPNE2,0,0,0,0,1057,469,2259,2267,5775,2871,8039,9768,1978,2704,3821,1413,0,0,2690,0,1382,0,1167,0,2367,0,0,0,398,2456,0,6451,N,N,N
ZNF624,0,0,5783,0,15249,0,6109,5884,7367,5700,11072,7949,7835,5731,6460,6551,0,885,5603,0,7654,0,2816,1794,0,0,0,0,13395,5052,0,5188,N,N,N
PROCA1,0,0,0,0,0,0,5229,9334,10090,10180,14186,15360,3254,13321,13706,12029,0,0,0,0,0,0,0,0,0,346,920,0,11204,10870,0,0,N,N,N
